ablatives	ablative:ablative_A s:+PL
steamship	steam:steam_N ship:ship_N
sterilizing	steril:sterile_A iz:ize_s ing:+PCP1
sterna	sterna:sternum_N ~:+PL
stewards	steward:steward_N s:+PL, steward:steward_N s:+3SG
stinting	stint:stint_V ing:+PCP1
stocking	stock:stock_V ing:+PCP1, stocking:stocking_N
storerooms	store:store_V room:room_N s:+PL
strangulation	strangul:strangle_V at:ate_s ion:ion_s
stream	stream:stream_N, stream:stream_N
strode	strode:stride_V ~:+PAST
strollers	stroll:stroll_V er:er_s s:+PL
sturdy	sturdy:sturdy_A
subsequently	sub:sub_p sequent:sequent_A ly:ly_s
suburbanite	sub:sub_p urban:urban_A ite:ite_s, suburb:suburb_N an:an_s ite:ite_s
sufficient	suffici:suffice_V ent:ent_s
suffixes	suffix:suffix_N es:+PL
sulphides	sulph:sulphur_N ide:ide_s s:+PL
summaries	summari:summary_A es:+PL
summarizing	summar:summary_A iz:ize_s ing:+PCP1
sun's	sun:sun_N 's:+GEN
sunroof	sun:sun_N roof:roof_N
sure	sure:sure_A, sure:sure_A
surgeon	surgeon:surgeon_N
surliest	surli:surly_A est:+SUP
sweet's	sweet:sweet_A 's:+GEN
switching	switch:switch_N ing:+PCP1
taboos'	taboo:taboo_N s:+PL ':+GEN
tackles	tackle:tackle_N s:+PL, tackle:tackle_N s:+3SG
tallying	tally:tally_N ing:+PCP1
tamped	tamp:tamp_V ed:+PAST
tangible	tangible:tangible_A
tangs	tang:tang_N s:+PL
tarrying	tarry:tarry_V ing:+PCP1
taster	tast:taste_V er:er_s
tatters	tatt:tat_V er:er_s s:+PL, tatters:tatters_N
tattlers	tattl:tattle_V er:er_s s:+PL
taunts	taunt:taunt_N s:+PL, taunt:taunt_N s:+3SG
taxiing	taxi:taxi_N ing:+PCP1
teasel	teasel:teasel_N
ted's	ted:teddy_N ~:boy_N 's:+GEN
telegraph	tele:tele_p graph:graph_s, tele:tele_p graph:graph_s
temper	temper:temper_V, temper:temper_V
temporizing	temporiz:temporize_V ing:+PCP1
tempter	tempt:tempt_V er:er_s
tenable	tenable:tenable_A
tenor's	tenor:tenor_N 's:+GEN
terrified	terr:terror_N ifi:ify_s ed:+PAST
test's	test:test_N 's:+GEN
tests	test:test_N s:+PL, test:test_N s:+3SG
tete-a-tete	tete-a-tete:tete-a-tete_N, tete-a-tete:tete-a-tete_N
thanksgivings	thanks:thanks_N giving:giving_V s:+PL, thanks:thanks_N giving:giving_V ~:day_N s:+PL
thematic	them:theme_N atic:atic_s
theodolite	theodolite:theodolite_N
threshing	thresh:thresh_V ing:+PCP1
throwaways	throw:throw_V a:a_p way:way_N s:+PL
tie-on	tie:tie_V -:~ on:on_P
timpanist	timpan:timpani_N ist:ist_s
tiredness	tired:tired_V ness:ness_s
toes	toe:toe_N s:+PL
toilers	toil:toil_V er:er_s s:+PL
tomatoes'	tomato:tomato_N es:+PL ':+GEN
toothaches	tooth:tooth_N ache:ache_V s:+PL
toothy	tooth:tooth_N y:y_s
topazes	topaz:topaz_N es:+PL
tornados	tornado:tornado_N s:+PL
torpedos	torpedo:torpedo_N s:+3SG
torturers	tortur:torture_N er:er_s s:+PL
tournaments'	tournament:tournament_N s:+PL ':+GEN
touted	tout:tout_V ed:+PAST
tow's	tow:tow_V 's:+GEN
toward	to:to_P ward:ward_s
towelling	towell:towel_N ing:+PCP1, towelling:towelling_V
tract	tract:tract_N
trafficked	traffick:traffic_V ed:+PAST
tramples	tramp:tramp_V le:le_s s:+PL, tramp:tramp_V le:le_s s:+3SG
transcendency	transcend:transcend_V ~:ent_s ency:ency_s
transmogrification	transmogrific:transmogrify_V ation:ation_s
trashiness	trash:trash_N i:y_s ness:ness_s
treasure	treasure:treasure_N, treasure:treasure_N
trellising	trellis:trellis_N ing:+PCP1
trendiness'	trend:trend_V i:y_s ness:ness_s ':+GEN
trestle-tables	trestle:trestle_N -:~ table:table_N s:+PL
triads	triad:triad_N s:+PL
tribunal's	tribun:tribune_N al:al_s 's:+GEN
triplex's	triplex:Triplex_N 's:+GEN
triumvirate	triumvir:triumvir_N ate:ate_s
truce	truce:truce_N
truck	truck:truck_N
trumpeters	trump:trump_N et:et_s er:er_s s:+PL
tugboats	tug:tug_N boat:boat_N s:+PL
tureen	tureen:tureen_N
turncoats	turn:turn_V coat:coat_N s:+PL
twangs	twang:twang_V s:+PL, twang:twang_V s:+3SG
twin's	twin:twin_N 's:+GEN
twine's	twine:twine_N 's:+GEN
twits	twit:twit_V s:+PL, twit:twit_V s:+3SG
two-ply	two:two_Q -:~ ply:ply_N, two:two_Q -:~ ply:ply_N
two-way	two:two_Q -:~ way:way_N
unabridged	un:un_p abridged:abridged_V
unadopted	un:un_p adopted:adopted_V
underage	under:under_p age:age_N
undergrad	under:under_P grad:graduate_V
undertaking's	undertaking:undertaking_V 's:+GEN
undies	undies:undies_N
unequivocally	un:un_p equivocal:equivocal_A ly:ly_s
unheard	un:un_p heard:heard_V
unhooks	un:un_p hook:hook_N s:+3SG
unreserved	un:un_p reserved:reserved_V
unseeingly	un:un_p seeing:seeing_V ly:ly_s
upstairs	up:up_B stairs:stairs_N, up:up_B stairs:stairs_N, up:up_B stairs:stairs_N
urchins	urchin:urchin_N s:+PL
vacillation	vacillat:vacillate_V ion:ion_s
vassals	vassal:vassal_N s:+PL
vaudeville	vaudeville:vaudeville_N
ventriloquists	ventriloqu:ventriloquism_N ist:ist_s s:+PL
venue	venue:venue_N
versification	vers:verse_N ific:ify_s ation:ation_s
viceregal	vice:vice_p regal:regal_A
vicunas	vicuna:vicuna_N s:+PL
vineyard	vine:vine_N yard:yard_N
volunteer's	volunteer:volunteer_V 's:+GEN
voteless	vote:vote_N less:less_s
vouchsafed	vouch:vouch_for_V saf:safe_A ed:+PAST
vulgarized	vulgar:vulgar_A iz:ize_s ed:+PAST
waistbands	waist:waist_N band:band_N s:+PL
waistcoats	waist:waist_N coat:coat_N s:+PL
walk-up	walk:walk_V -:~ up:up_B, walk:walk_V -:~ up:up_B
want-ad	want:want_V -:~ ad:advertise_V ~:ment_s
warders	ward:ward_N er:er_s s:+PL
warming	warm:warm_A ing:+PCP1
washstands	wash:wash_V stand:stand_V s:+PL
watch-chains	watch:watch_V -:~ chain:chain_N s:+PL
watercourses	water:water_N course:course_N s:+PL
waxwork	wax:wax_N work:work_V
wearers	wear:wear_V er:er_s s:+PL
welshing	welsh:welsh_V ing:+PCP1
whiners'	whin:whine_V er:er_s s:+PL ':+GEN
whipping	whipp:whip_N ing:+PCP1, whipping:whipping_V
whispers	whisper:whisper_V s:+PL, whisper:whisper_V s:+3SG
whoops	whoop:whoop_N s:+PL, whoop:whoop_N s:+3SG
wiltons	wilton:Wilton_N s:+PL
winced	winc:wince_V ed:+PAST
winner	winn:win_V er:er_s
wipes	wipe:wipe_V s:+PL, wipe:wipe_V s:+3SG
wisdom	wis:wise_A dom:dom_s
withhold	with:with_p hold:hold_V
witlessness	wit:wit_N less:less_s ness:ness_s
witnessing	witness:witness_N ing:+PCP1
wombs	womb:womb_N s:+PL
worship	worship:Worship_N, worship:worship_N, worship:worship_N
worshipper	worshipp:worship_N er:er_s
wreaking	wreak:wreak_V ing:+PCP1
yetis	yeti:yeti_N s:+PL
yowling	yowl:yowl_V ing:+PCP1
zany's	zany:zany_A 's:+GEN
zeniths	zenith:zenith_N s:+PL
zodiac	zodiac:zodiac_N
zombie's	zombie:zombie_N 's:+GEN
